"data-index","data-id","data-issetup","data-maingroup","data-subgroup","data-type","data-vehicle","data-productcode","data-price-root","data-ordertypeid","data-pos","sourceURL","data-s","data-site","data-pro","data-cache","data-sv","data-name","data-id","data-price","data-brand","data-cate","data-box","data-pos","data-color","data-productstatus","data-premium","data-promotiontype","imageURL","percent","gift","rating","unit-sold"
"13","325480","0","22","42","1","1","0220042002673","26990000.0","2","13","/laptop/asus-zenbook-14-oled-i5-km657w?utm_flashsale=1","TwoPriceDetailCMS","1","3","True","webtgdd-26-86","Laptop Asus Zenbook 14 OLED UX3402VA i5 13500H/16GB/512GB/90Hz/Win11 (KM657W)","325480","22990000.0","Asus","Laptop","BoxCate","0","Bạc","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/325480/asus-zenbook-14-oled-i5-km657w-170225-110225-422-600x600.jpg","-14%","Quà 2.240.000₫","4.9","• Đã bán 798"
"14","322634","0","22","42","1","1","0220042002600","32990000.0","154","14","/laptop/macbook-air-13-inch-m3-2024-16gb-512gb","TwoPriceDetail","1","3","True","webtgdd-26-86","Laptop MacBook Air 13 inch M3 16GB/512GB","322634","30690000.0","MacBook","Laptop","BoxCate","0","Xanh đen","","False","","https://cdn.tgdd.vn/Products/Images/44/322634/macbook-air-13-inch-m3-xanh-600x600.jpg","-6%","Quà 200.000₫","5","• Đã bán 705"
"15","325699","0","22","42","1","1","0220042002685","20490000.0","2","15","/laptop/acer-aspire-a515-58gm-53pz-i5-nxkq4sv008","Nomal","1","3","True","webtgdd-26-86","Laptop Acer Gaming Aspire 5 A515 58GM 53PZ i5 13420H/8GB/512GB/4GB RTX2050/Win11 (NX.KQ4SV.008)","325699","15490000.0","Acer","Laptop","BoxCate","0","Xám","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/325699/acer-aspire-a515-58gm-53pz-i5-nxkq4sv008-thumb-638754955030945536-600x600.jpg","-24%","Quà 2.090.000₫","4.9","• Đã bán 1k"
"16","333424","0","22","42","1","1","0220042002981","19990000.0","2","16","/laptop/acer-aspire-16-ai-a16-71m-59l5-ultra-5-nxj4ysv001","Nomal","1","3","True","webtgdd-26-86","Laptop Acer Aspire 16 AI A16 71M 59L5 Ultra 5 125H/16GB/512GB/Win11 (NX.J4YSV.001)","333424","18490000.0","Acer","Laptop","BoxCate","0","Xám","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/333424/acer-aspire-16-ai-a16-71m-59l5-ultra-5-nxj4ysv001-638774738263890291-600x600.jpg","-7%","Quà 2.090.000₫","5","• Đã bán 18"
"17","330075","0","22","42","1","1","0220042002844","15690000.0","2","17","/laptop/dell-inspiron-15-3520-i5-n3520-i5u085w11slu","Nomal","1","3","True","webtgdd-26-86","Laptop Dell Inspiron 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (N3520-i5U085W11SLU)","330075","14990000.0","Dell","Laptop","BoxCate","0","Bạc","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/330075/dell-inspiron-15-3520-i5-n3520-i5u085w11slu-thumb-638760094038090008-600x600.jpg","0%","Quà 150.000₫","5","• Đã bán 497"
"18","330162","0","22","42","1","1","0220042002845","19990000.0","154","18","/laptop/asus-fa506nfr-r7-hn113w","TwoPriceDetail","1","3","True","webtgdd-26-86","Laptop Asus TUF Gaming A15 FA506NFR R7 7435HS/16GB/512GB/4GB RTX2050/144Hz/Win11 (HN113W)","330162","18390000.0","Asus","Laptop","BoxCate","0","Đen","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/330162/asus-fa506nfr-r7-hn113w-170225-113243-035-600x600.jpg","-8%","Quà 2.240.000₫","5","• Đã bán 336"
"19","310839","0","22","42","1","1","0220042002338","19990000.0","154","19","/laptop/asus-vivobook-15-oled-a1505va-i5-l1341w","TwoPriceDetail","1","3","True","webtgdd-26-86","Laptop Asus Vivobook 15 OLED A1505VA i5 13500H/16GB/512GB/Chuột/Win11 (L1341W)","310839","17490000.0","Asus","Laptop","BoxCate","0","Đen","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/310839/asus-vivobook-15-oled-a1505va-i5-l1341w-170225-103010-088-600x600.jpg","-12%","Quà 2.240.000₫","4.9","• Đã bán 3,6k"
"20","334996","0","22","42","1","1","0220042003048","15790000.0","2","20","/laptop/acer-aspire-lite-al14-52m-54cj-i5-nxj39sv002","Nomal","1","3","True","webtgdd-26-86","Laptop Acer Aspire Lite AL14 52M 54CJ i5 1334U/16GB/512GB/Win11 (NX.J39SV.002)","334996","14790000.0","Acer","Laptop","BoxCate","0","Xám","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/334996/acer-aspire-lite-al14-52m-54cj-i5-nxj39sv002-638774738483558949-600x600.jpg","-6%","Quà 2.090.000₫",,"Mẫu mới"
"1","311177","0","22","42","1","1","0220042002357","25290000.0","2","1","/laptop/hp-pavilion-15-eg3091tu-i7-8c5l2pa","Nomal","1","3","True","webtgdd-26-86","Laptop HP Pavilion 15 eg3091TU i7 1355U/16GB/512GB/Win11 (8C5L2PA)","311177","23190000.0","HP","Laptop","BoxCate","0","Vàng","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/311177/hp-pavilion-15-eg3091tu-i7-8c5l2pa-170225-103417-620-600x600.jpg","-8%","Quà 2.240.000₫","4.9","• Đã bán 1,3k"
"2","327051","0","22","42","1","1","0220042002743","29490000.0","2","2","/laptop/lenovo-loq-15arp9-r7-83jc0040vn","Nomal","1","3","True","webtgdd-26-86","Laptop Lenovo Gaming LOQ 15ARP9 R7 7435HS/24GB/512GB/6GB RTX4050/144Hz/Win11 (83JC0040VN)","327051","27190000.0","Lenovo","Laptop","BoxCate","0","Xám","","False","","https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/327051/lenovo-loq-15arp9-r7-83jc0040vn-thumb-638754871081388996-600x600.jpg","-7%","Quà 2.240.000₫","5","• Đã bán 798"
